full_name,age,season,position,Current_Club,minutes_played_overall,minutes_played_home,minutes_played_away,goals_overall,goals_home,goals_away,goals_per_90_overall,goals_per_90_home,goals_per_90_away
Aaron Cresswell,32,2018/2019,Defender,West Ham United,1589,888,701,0,0,0,0,0,0
Aaron Lennon,35,2018/2019,Midfielder,Burnley,1217,487,730,1,1,0,0.07,0.18,0
Aaron Mooy,32,2018/2019,Midfielder,Huddersfield Town,2327,1190,1137,3,1,2,0.12,0.08,0.16
Aaron Ramsey,31,2018/2019,Midfielder,Arsenal,1327,689,638,4,2,2,0.27,0.26,0.28
Aaron Rowe,22,2018/2019,Forward,Huddersfield Town,69,14,55,0,0,0,0,0,0
Aaron Wan-Bissaka,24,2018/2019,Midfielder,Crystal Palace,3135,1605,1530,0,0,0,0,0,0
Abdelhamid Sabiri,25,2018/2019,Midfielder,Huddersfield Town,49,0,49,0,0,0,0,0,0
Abdoulaye Doucouré,29,2018/2019,Midfielder,Watford,3062,1566,1496,5,3,2,0.15,0.17,0.12
Aboubakar Kamara,27,2018/2019,Forward,Fulham,687,468,219,3,1,2,0.39,0.19,0.82
Adalberto Peñaranda Maestre,25,2018/2019,Forward,Watford,0,0,0,0,0,0,0,0,0
Adam Lallana,34,2018/2019,Midfielder,Liverpool,465,189,276,0,0,0,0,0,0
Adam Masina,28,2018/2019,Defender,Watford,1003,463,540,0,0,0,0,0,0
Adam Smith,31,2018/2019,Defender,AFC Bournemouth,2073,1051,1022,1,1,0,0.04,0.09,0
Adama Diakhaby,26,2018/2019,Forward,Huddersfield Town,551,345,206,0,0,0,0,0,0
Adama Traoré,26,2018/2019,Midfielder,Wolverhampton Wanderers,890,315,575,1,0,1,0.1,0,0.16
Ademola Lookman,25,2018/2019,Forward,Everton,601,334,267,0,0,0,0,0,0
Adrián,35,2018/2019,Goalkeeper,West Ham United,0,0,0,0,0,0,0,0,0
Adrian Mariappa,36,2018/2019,Defender,Watford,1921,841,1080,0,0,0,0,0,0
Adrien Sebastian Perruchet Silva,33,2018/2019,Midfielder,Leicester City,88,8,80,0,0,0,0,0,0
Ainsley Maitland-Niles,25,2018/2019,Midfielder,Arsenal,985,462,523,1,0,1,0.09,0,0.17
Alberto Moreno,30,2018/2019,Defender,Liverpool,155,90,65,0,0,0,0,0,0
Aleksandar Mitrović,28,2018/2019,Forward,Fulham,3282,1616,1666,11,8,3,0.3,0.45,0.16
Alex Iwobi,26,2018/2019,Forward,Arsenal,1972,742,1230,3,1,2,0.14,0.12,0.15
Alex McCarthy,32,2018/2019,Goalkeeper,Southampton,2250,1170,1080,0,0,0,0,0,0
Alex Oxlade-Chamberlain,29,2018/2019,Midfielder,Liverpool,19,19,0,0,0,0,0,0,0
Alex Pritchard,29,2018/2019,Midfielder,Huddersfield Town,2092,992,1100,2,1,1,0.09,0.09,0.08
Alex Smithies,32,2018/2019,Goalkeeper,Cardiff City,0,0,0,0,0,0,0,0,0
Alexander Sørloth,26,2018/2019,Forward,Crystal Palace,173,121,52,0,0,0,0,0,0
Alexandre Lacazette,31,2018/2019,Forward,Arsenal,2503,1403,1100,13,9,4,0.47,0.58,0.33
Alexandre Nascimento Costa Silva,25,2018/2019,Forward,West Ham United,17,0,17,0,0,0,0,0,0
Alexis Sanchez,33,2018/2019,Forward,Manchester United,877,387,490,1,1,0,0.1,0.23,0
Alfie Jones,25,2018/2019,Defender,Southampton,0,0,0,0,0,0,0,0,0
Alfie Mawson,28,2018/2019,Defender,Fulham,1131,547,584,0,0,0,0,0,0
